Team,Home ATT,Home AVG,Road ATT,Road AVG
Atlanta Hawks,690150,16833,722066,17611
Boston Celtics,749076,18270,715023,17440
Brooklyn Nets,620142,15125,742352,18106
Charlotte Hornets,716894,17485,729157,17784
Chicago Bulls,894659,21821,744400,18156
Cleveland Cavaliers,843042,20562,775317,18910
Dallas Mavericks,825901,20144,726812,17727
Denver Nuggets,577898,14095,729120,17783
Detroit Pistons,677138,16516,730383,17814
Golden State Warriors,803436,19596,784499,19134
Houston Rockets,737244,17982,727368,17741
Indiana Pacers,690733,16847,731930,17852
Los Angeles Clippers,786910,19193,729503,17793
Los Angeles Lakers,778877,18997,785143,19150
Memphis Grizzlies,701894,17119,721186,17590
Miami Heat,809350,19740,739821,18044
Milwaukee Bucks,621808,15166,722548,17623
Minnesota Timberwolves,581178,14175,731110,17832
New Orleans Pelicans,688549,16794,731893,17851
New York Knicks,812292,19812,756070,18441
Oklahoma City Thunder,746323,18203,748617,18259
Orlando Magic,719275,17543,704188,17175
Philadelphia 76ers,610121,14881,717170,17492
Phoenix Suns,701405,17107,709412,17303
Portland Trail Blazers,794085,19368,725852,17704
Sacramento Kings,707526,17257,711569,17355
San Antonio Spurs,756445,18450,735470,17938
Toronto Raptors,812863,19826,703668,17163
Utah Jazz,791489,19305,712518,17378
Washington Wizards,725426,17693,729274,17787
