Player,Salary,Team,Team Code,Year
Stephen Curry,"$37,457,154 ",Golden State Warriors,GSW,2019
Russell Westbrook,"$35,665,000 ",Oklahoma City Thunder,OKC,2019
LeBron James,"$35,654,150 ",Los Angeles Lakers,LAL,2019
Chris Paul,"$35,654,150 ",Houston Rockets,HOU,2019
Kyle Lowry,"$32,700,000 ",Toronto Raptors,TOR,2019
Blake Griffin,"$31,873,932 ",Detroit Pistons,DET,2019
Gordon Hayward,"$31,214,295 ",Boston Celtics,BOS,2019
James Harden,"$30,570,000 ",Houston Rockets,HOU,2019
Paul George,"$30,560,700 ",Oklahoma City Thunder,OKC,2019
Mike Conley,"$30,521,115 ",Memphis Grizzlies,MEM,2019
Kevin Durant,"$30,000,000 ",Golden State Warriors,GSW,2019
Paul Millsap,"$29,230,769 ",Denver Nuggets,DEN,2019
Al Horford,"$28,928,710 ",Boston Celtics,BOS,2019
Damian Lillard,"$27,977,689 ",Portland Trailblazers,POR,2019
DeMar DeRozan,"$27,739,975 ",San Antonio Spurs,SAS,2019
Chris Bosh,"$26,837,720 ",Miami Heat,MIA,2019
Jrue Holiday,"$26,641,111 ",New Orleans Pelicans,NOP,2019
Otto Porter,"$26,011,913 ",Washington Wizards,WAS,2019
CJ McCollum,"$25,759,766 ",Portland Trailblazers,POR,2019
Joel Embiid,"$25,467,250 ",Philadelphia 76ers,PHI,2019
Andrew Wiggins,"$25,467,250 ",Minnesota Timberwolves,MIN,2019
Nikola Jokic,"$25,467,250 ",Denver Nuggets,DEN,2019
Anthony Davis,"$25,434,263 ",New Orleans Pelicans,NOP,2019
Bradley Beal,"$25,434,262 ",Washington Wizards,WAS,2019
Andre Drummond,"$25,434,262 ",Detroit Pistons,DET,2019
Hassan Whiteside,"$24,434,262 ",Miami Heat,MIA,2019
Dwight Howard,"$24,256,725 ",Washington Wizards,WAS,2019
Steven Adams,"$24,157,304 ",Oklahoma City Thunder,OKC,2019
Giannis Antetokounmpo,"$24,157,304 ",Milwaukee Bucks,MIL,2019
Marc Gasol,"$24,119,025 ",Memphis Grizzlies,MEM,2019
Kevin Love,"$24,119,025 ",Cleveland Cavaliers,CLE,2019
Harrison Barnes,"$24,107,258 ",Dallas Mavericks,DAL,2019
Chandler Parsons,"$24,107,258 ",Memphis Grizzlies,MEM,2019
Nicolas Batum,"$24,000,000 ",Charlotte Hornets,CHO,2019
Rudy Gobert,"$23,491,573 ",Utah Jazz,UTA,2019
Kawhi Leonard,"$23,114,066 ",Toronto Raptors,TOR,2019
DeAndre Jordan,"$22,897,200 ",Dallas Mavericks,DAL,2019
LaMarcus Aldridge,"$22,347,015 ",San Antonio Spurs,SAS,2019
Serge Ibaka,"$21,666,667 ",Toronto Raptors,TOR,2019
Aaron Gordon,"$21,590,909 ",Orlando Magic,ORL,2019
Danilo Gallinari,"$21,587,579 ",Los Angeles Clippers,LAC,2019
Victor Oladipo,"$21,000,000 ",Indiana Pacers,IND,2019
Ryan Anderson,"$20,421,546 ",Phoenix Suns,PHO,2019
Joakim Noah,"$20,261,172 ",Memphis Grizzlies,MEM,2019
