Team,Year,Home ATT,Home AVG,Road ATT,Road AVG
Atlanta Hawks,2015,713909,17412,720873,17582
Boston Celtics,2015,721350,17594,727404,17742
Brooklyn Nets,2015,698529,17037,739614,18039
Charlotte Hornets,2015,704886,17192,723833,17654
Chicago Bulls,2015,896525,21866,754592,18405
Cleveland Cavaliers,2015,843042,20562,775537,18916
Dallas Mavericks,2015,827702,20188,723792,17653
Denver Nuggets,2015,602707,14700,714593,17429
Detroit Pistons,2015,625917,15266,732519,17866
Golden State Warriors,2015,803436,19596,750793,18312
Houston Rockets,2015,747412,18230,736761,17970
Indiana Pacers,2015,691434,16864,733593,17893
Los Angeles Clippers,2015,785892,19168,741245,18079
Los Angeles Lakers,2015,768244,18738,732881,17875
Memphis Grizzlies,2015,710502,17329,738717,18017
Miami Heat,2015,808223,19713,725609,17698
Milwaukee Bucks,2015,611226,14908,725841,17703
Minnesota Timberwolves,2015,595652,14528,738032,18001
New Orleans Pelicans,2015,683757,16677,723265,17641
New York Knicks,2015,812292,19812,715966,17463
Oklahoma City Thunder,2015,746323,18203,736220,17957
Orlando Magic,2015,688194,16785,721024,17586
Philadelphia 76ers,2015,571342,13935,724272,17665
Phoenix Suns,2015,693862,16923,721033,17586
Portland Trail Blazers,2015,801377,19546,723952,17657
Sacramento Kings,2015,680049,16587,718130,17515
San Antonio Spurs,2015,762855,18606,736866,17972
Toronto Raptors,2015,809824,19752,718430,17523
Utah Jazz,2015,772059,18831,702545,17135
Washington Wizards,2015,747796,18239,748386,18253
Atlanta Hawks,2016,690150,16833,722066,17611
Boston Celtics,2016,749076,18270,715023,17440
Brooklyn Nets,2016,620142,15125,742352,18106
Charlotte Hornets,2016,716894,17485,729157,17784
Chicago Bulls,2016,894659,21821,744400,18156
Cleveland Cavaliers,2016,843042,20562,775317,18910
Dallas Mavericks,2016,825901,20144,726812,17727
Denver Nuggets,2016,577898,14095,729120,17783
Detroit Pistons,2016,677138,16516,730383,17814
Golden State Warriors,2016,803436,19596,784499,19134
Houston Rockets,2016,737244,17982,727368,17741
Indiana Pacers,2016,690733,16847,731930,17852
Los Angeles Clippers,2016,786910,19193,729503,17793
Los Angeles Lakers,2016,778877,18997,785143,19150
Memphis Grizzlies,2016,701894,17119,721186,17590
Miami Heat,2016,809350,19740,739821,18044
Milwaukee Bucks,2016,621808,15166,722548,17623
Minnesota Timberwolves,2016,581178,14175,731110,17832
New Orleans Pelicans,2016,688549,16794,731893,17851
New York Knicks,2016,812292,19812,756070,18441
Oklahoma City Thunder,2016,746323,18203,748617,18259
Orlando Magic,2016,719275,17543,704188,17175
Philadelphia 76ers,2016,610121,14881,717170,17492
Phoenix Suns,2016,701405,17107,709412,17303
Portland Trail Blazers,2016,794085,19368,725852,17704
Sacramento Kings,2016,707526,17257,711569,17355
San Antonio Spurs,2016,756445,18450,735470,17938
Toronto Raptors,2016,812863,19826,703668,17163
Utah Jazz,2016,791489,19305,712518,17378
Washington Wizards,2016,725426,17693,729274,17787
Atlanta Hawks,2017,654306,15959,730479,17817
Boston Celtics,2017,760690,18553,750843,18313
Brooklyn Nets,2017,632608,15429,727958,17755
Charlotte Hornets,2017,710643,17333,720119,17564
Chicago Bulls,2017,888882,21680,739359,18033
Cleveland Cavaliers,2017,843042,20562,779880,19021
Dallas Mavericks,2017,811366,19789,718291,17519
Denver Nuggets,2017,605585,14770,714236,17420
Detroit Pistons,2017,655141,15979,725680,17700
Golden State Warriors,2017,803436,19596,779621,19015
Houston Rockets,2017,695903,16973,743761,18141
Indiana Pacers,2017,684578,16697,731786,17848
Los Angeles Clippers,2017,782609,19088,733478,17890
Los Angeles Lakers,2017,776917,18949,745860,18192
Memphis Grizzlies,2017,677314,16520,723881,17656
Miami Heat,2017,805400,19644,730566,17819
Milwaukee Bucks,2017,648952,15828,735056,17928
Minnesota Timberwolves,2017,607203,14810,742174,18102
New Orleans Pelicans,2017,663099,16173,740577,18063
New York Knicks,2017,810741,19774,735028,17928
Oklahoma City Thunder,2017,746323,18203,753331,18374
Orlando Magic,2017,727875,17753,710690,17334
Philadelphia 76ers,2017,710557,17331,705569,17209
Phoenix Suns,2017,708639,17284,722367,17619
Portland Trail Blazers,2017,792029,19318,719788,17556
Sacramento Kings,2017,721928,17608,717065,17489
San Antonio Spurs,2017,755347,18423,743388,18131
Toronto Raptors,2017,813050,19830,734953,17926
Utah Jazz,2017,806142,19662,705701,17212
Washington Wizards,2017,697107,17003,735927,17949
Atlanta Hawks,2018,590769,14409,729839,17801
Boston Celtics,2018,763584,18624,760822,18557
Brooklyn Nets,2018,639510,15598,725099,17685
Charlotte Hornets,2018,671404,16376,722558,17623
Chicago Bulls,2018,851824,20776,739242,18030
Cleveland Cavaliers,2018,843042,20562,781477,19060
Dallas Mavericks,2018,811453,19792,712566,17380
Denver Nuggets,2018,702796,17141,732712,17871
Detroit Pistons,2018,713945,17413,736330,17959
Golden State Warriors,2018,803436,19596,774248,18884
Houston Rockets,2018,732722,17871,753134,18369
Indiana Pacers,2018,658119,16052,727547,17745
Los Angeles Clippers,2018,697812,17020,729030,17781
Los Angeles Lakers,2018,776328,18935,766568,18697
Memphis Grizzlies,2018,653863,15948,711289,17349
Miami Heat,2018,804910,19632,745274,18177
Milwaukee Bucks,2018,685303,16715,753614,18381
Minnesota Timberwolves,2018,699308,17056,731886,17851
New Orleans Pelicans,2018,673920,16437,734378,17912
New York Knicks,2018,792608,19332,745965,18194
Oklahoma City Thunder,2018,746323,18203,773542,18867
Orlando Magic,2018,734531,17915,723704,17651
Philadelphia 76ers,2018,833503,20329,737198,17980
Phoenix Suns,2018,690576,16843,722045,17611
Portland Trail Blazers,2018,795328,19398,719823,17557
Sacramento Kings,2018,719903,17559,716618,17478
San Antonio Spurs,2018,754562,18404,755528,18428
Toronto Raptors,2018,813431,19840,724603,17673
Utah Jazz,2018,734806,17922,717311,17495
Washington Wizards,2018,739302,18032,724971,17682
Atlanta Hawks,2019,630440,15377,729237,17786
Boston Celtics,2019,763584,18624,765533,18672
Brooklyn Nets,2019,612597,14941,741515,18086
Charlotte Hornets,2019,676570,16502,723570,17648
Chicago Bulls,2019,823475,20085,730710,17822
Cleveland Cavaliers,2019,793337,19350,722921,17632
Dallas Mavericks,2019,820569,20014,741033,18074
Denver Nuggets,2019,756457,18450,716494,17475
Detroit Pistons,2019,675963,16487,730583,17819
Golden State Warriors,2019,803436,19596,770397,18790
Houston Rockets,2019,740392,18058,734766,17921
Indiana Pacers,2019,689310,16812,732774,17873
Los Angeles Clippers,2019,710327,17325,706573,17233
Los Angeles Lakers,2019,778877,18997,773355,18862
Memphis Grizzlies,2019,638332,15569,720763,17580
Miami Heat,2019,805264,19641,745217,18176
Milwaukee Bucks,2019,721692,17602,747607,18234
Minnesota Timberwolves,2019,627543,15306,723775,17653
New Orleans Pelicans,2019,656183,16004,724356,17667
New York Knicks,2019,779087,19002,720226,17566
Oklahoma City,2019,746350,18204,732517,17866
Orlando Magic,2019,720024,17562,724048,17660
Philadelphia 76ers,2019,838564,20453,733699,17895
Phoenix Suns,2019,627023,15293,737301,17983
Portland Trail Blazers,2019,799345,19496,735976,17951
Sacramento Kings,2019,700975,17097,705164,17199
San Antonio Spurs,2019,750616,18308,712647,17382
Toronto Raptors,2019,812822,19825,747839,18240
Utah Jazz,2019,732240,17860,718204,17517
Washington Wizards,2019,716996,17488,717896,17510
