Team,Home ATT 2015,Home AVG 2015,Home ATT 2016,Home AVG 2016,Home ATT 2017,Home AVG 2017,Home ATT 2018,Home AVG 2018,Home ATT 2019,Home AVG 2019
Atlanta Hawks,713909,17412,690150,16833,654306,15959,590769,14409,630440,15377
Boston Celtics,721350,17594,749076,18270,760690,18553,763584,18624,763584,18624
Brooklyn Nets,698529,17037,620142,15125,632608,15429,639510,15598,612597,14941
Charlotte Hornets,704886,17192,716894,17485,710643,17333,671404,16376,676570,16502
Chicago Bulls,896525,21866,894659,21821,888882,21680,851824,20776,823475,20085
Cleveland Cavaliers,843042,20562,843042,20562,843042,20562,843042,20562,793337,19350
Dallas Mavericks,827702,20188,825901,20144,811366,19789,811453,19792,820569,20014
Denver Nuggets,602707,14700,577898,14095,605585,14770,702796,17141,756457,18450
Detroit Pistons,625917,15266,677138,16516,655141,15979,713945,17413,675963,16487
Golden State Warriors,803436,19596,803436,19596,803436,19596,803436,19596,803436,19596
Houston Rockets,747412,18230,737244,17982,695903,16973,732722,17871,740392,18058
Indiana Pacers,691434,16864,690733,16847,684578,16697,658119,16052,689310,16812
Los Angeles Clippers,785892,19168,786910,19193,782609,19088,697812,17020,710327,17325
Los Angeles Lakers,768244,18738,778877,18997,776917,18949,776328,18935,778877,18997
Memphis Grizzlies,710502,17329,701894,17119,677314,16520,653863,15948,638332,15569
Miami Heat,808223,19713,809350,19740,805400,19644,804910,19632,805264,19641
Milwaukee Bucks,611226,14908,621808,15166,648952,15828,685303,16715,721692,17602
Minnesota Timberwolves,595652,14528,581178,14175,607203,14810,699308,17056,627543,15306
New Orleans Pelicans,683757,16677,688549,16794,663099,16173,673920,16437,656183,16004
New York Knicks,812292,19812,812292,19812,810741,19774,792608,19332,779087,19002
Oklahoma City Thunder,746323,18203,746323,18203,746323,18203,746323,18203,746350,18204
Orlando Magic,688194,16785,719275,17543,727875,17753,734531,17915,720024,17562
Philadelphia 76ers,571342,13935,610121,14881,710557,17331,833503,20329,838564,20453
Phoenix Suns,693862,16923,701405,17107,708639,17284,690576,16843,627023,15293
Portland Trail Blazers,801377,19546,794085,19368,792029,19318,795328,19398,799345,19496
Sacramento Kings,680049,16587,707526,17257,721928,17608,719903,17559,700975,17097
San Antonio Spurs,762855,18606,756445,18450,755347,18423,754562,18404,750616,18308
Toronto Raptors,809824,19752,812863,19826,813050,19830,813431,19840,812822,19825
Utah Jazz,772059,18831,791489,19305,806142,19662,734806,17922,732240,17860
Washington Wizards,747796,18239,725426,17693,697107,17003,739302,18032,716996,17488
