Team,Road ATT 2015,Road AVG 2015,Road ATT 2016,Road AVG 2016,Road ATT 2017,Road AVG 2017,Road ATT 2018,Road AVG 2018,Road ATT 2019,Road AVG 2019
Atlanta Hawks,"720,873","17,582","722,066","17,611","730,479","17,817","729,839","17,801","729,237","17,786"
Boston Celtics,"727,404","17,742","715,023","17,440","750,843","18,313","760,822","18,557","765,533","18,672"
Brooklyn Nets,"739,614","18,039","742,352","18,106","727,958","17,755","725,099","17,685","741,515","18,086"
Charlotte Hornets,"723,833","17,654","729,157","17,784","720,119","17,564","722,558","17,623","723,570","17,648"
Chicago Bulls,"754,592","18,405","744,400","18,156","739,359","18,033","739,242","18,030","730,710","17,822"
Cleveland Cavaliers,"775,537","18,916","775,317","18,910","779,880","19,021","781,477","19,060","722,921","17,632"
Dallas Mavericks,"723,792","17,653","726,812","17,727","718,291","17,519","712,566","17,380","741,033","18,074"
Denver Nuggets,"714,593","17,429","729,120","17,783","714,236","17,420","732,712","17,871","716,494","17,475"
Detroit Pistons,"732,519","17,866","730,383","17,814","725,680","17,700","736,330","17,959","730,583","17,819"
Golden State Warriors,"750,793","18,312","784,499","19,134","779,621","19,015","774,248","18,884","770,397","18,790"
Houston Rockets,"736,761","17,970","727,368","17,741","743,761","18,141","753,134","18,369","734,766","17,921"
Indiana Pacers,"733,593","17,893","731,930","17,852","731,786","17,848","727,547","17,745","732,774","17,873"
Los Angeles Clippers,"741,245","18,079","729,503","17,793","733,478","17,890","729,030","17,781","706,573","17,233"
Los Angeles Lakers,"732,881","17,875","785,143","19,150","745,860","18,192","766,568","18,697","773,355","18,862"
Memphis Grizzlies,"738,717","18,017","721,186","17,590","723,881","17,656","711,289","17,349","720,763","17,580"
Miami Heat,"725,609","17,698","739,821","18,044","730,566","17,819","745,274","18,177","745,217","18,176"
Milwaukee Bucks,"725,841","17,703","722,548","17,623","735,056","17,928","753,614","18,381","747,607","18,234"
Minnesota Timberwolves,"738,032","18,001","731,110","17,832","742,174","18,102","731,886","17,851","723,775","17,653"
New Orleans Pelicans,"723,265","17,641","731,893","17,851","740,577","18,063","734,378","17,912","724,356","17,667"
New York Knicks,"715,966","17,463","756,070","18,441","735,028","17,928","745,965","18,194","720,226","17,566"
Oklahoma City Thunder,"736,220","17,957","748,617","18,259","753,331","18,374","773,542","18,867","732,517","17,866"
Orlando Magic,"721,024","17,586","704,188","17,175","710,690","17,334","723,704","17,651","724,048","17,660"
Philadelphia 76ers,"724,272","17,665","717,170","17,492","705,569","17,209","737,198","17,980","733,699","17,895"
Phoenix Suns,"721,033","17,586","709,412","17,303","722,367","17,619","722,045","17,611","737,301","17,983"
Portland Trail Blazers,"723,952","17,657","725,852","17,704","719,788","17,556","719,823","17,557","735,976","17,951"
Sacramento Kings,"718,130","17,515","711,569","17,355","717,065","17,489","716,618","17,478","705,164","17,199"
San Antonio Spurs,"736,866","17,972","735,470","17,938","743,388","18,131","755,528","18,428","712,647","17,382"
Toronto Raptors,"718,430","17,523","703,668","17,163","734,953","17,926","724,603","17,673","747,839","18,240"
Utah Jazz,"702,545","17,135","712,518","17,378","705,701","17,212","717,311","17,495","718,204","17,517"
Washington Wizards,"748,386","18,253","729,274","17,787","735,927","17,949","724,971","17,682","717,896","17,510"
