Rank,Player,2018/19,Team,Team Code
1,Stephen Curry,"$37,457,154 ",Golden State Warriors,GSW
2,Russell Westbrook,"$35,665,000 ",Oklahoma City Thunder,OKC
3,LeBron James,"$35,654,150 ",Los Angeles Lakers,LAL
3,Chris Paul,"$35,654,150 ",Houston Rockets,HOU
5,Kyle Lowry,"$32,700,000 ",Toronto Raptors,TOR
6,Blake Griffin,"$31,873,932 ",Detroit Pistons,DET
7,Gordon Hayward,"$31,214,295 ",Boston Celtics,BOS
8,James Harden,"$30,570,000 ",Houston Rockets,HOU
9,Paul George,"$30,560,700 ",Oklahoma City Thunder,OKC
10,Mike Conley,"$30,521,115 ",Memphis Grizzlies,MEM
11,Kevin Durant,"$30,000,000 ",Golden State Warriors,GSW
12,Paul Millsap,"$29,230,769 ",Denver Nuggets,DEN
13,Al Horford,"$28,928,710 ",Boston Celtics,BOS
14,Damian Lillard,"$27,977,689 ",Portland Trailblazers,POR
15,DeMar DeRozan,"$27,739,975 ",San Antonio Spurs,SAS
16,Chris Bosh,"$26,837,720 ",Miami Heat,MIA
17,Jrue Holiday,"$26,641,111 ",New Orleans Pelicans,NOP
18,Otto Porter,"$26,011,913 ",Washington Wizards,WAS
19,CJ McCollum,"$25,759,766 ",Portland Trailblazers,POR
20,Joel Embiid,"$25,467,250 ",Phoenix Suns,PHI
20,Andrew Wiggins,"$25,467,250 ",Minnesota Timberwolves,MIN
20,Nikola Jokic,"$25,467,250 ",Denver Nuggets,DEN
23,Anthony Davis,"$25,434,263 ",New Orleans Pelicans,NOP
24,Bradley Beal,"$25,434,262 ",Washington Wizards,WAS
24,Andre Drummond,"$25,434,262 ",Detroit Pistons,DET
26,Hassan Whiteside,"$24,434,262 ",Miami Heat,MIA
27,Dwight Howard,"$24,256,725 ",Washington Wizards,WAS
28,Steven Adams,"$24,157,304 ",Oklahoma City Thunder,OKC
28,Giannis Antetokounmpo,"$24,157,304 ",Milwaukee Bucks,MIL
30,Marc Gasol,"$24,119,025 ",Memphis Grizzlies,MEM
30,Kevin Love,"$24,119,025 ",Cleveland Cavaliers,CLE
32,Harrison Barnes,"$24,107,258 ",Dallas Mavericks,DAL
32,Chandler Parsons,"$24,107,258 ",Memphis Grizzlies,MEM
34,Nicolas Batum,"$24,000,000 ",Charlotte Hornets,CHO
35,Rudy Gobert,"$23,491,573 ",Utah Jazz,UTA
36,Kawhi Leonard,"$23,114,066 ",Toronto Raptors,TOR
37,DeAndre Jordan,"$22,897,200 ",Dallas Mavericks,DAL
38,LaMarcus Aldridge,"$22,347,015 ",San Antonio Spurs,SAS
39,Serge Ibaka,"$21,666,667 ",Toronto Raptors,TOR
40,Aaron Gordon,"$21,590,909 ",Orlando Magic,ORL
41,Danilo Gallinari,"$21,587,579 ",Los Angeles Clippers,LAC
42,Victor Oladipo,"$21,000,000 ",Indiana Pacers,IND
43,Ryan Anderson,"$20,421,546 ",Phoenix Suns,PHO
44,Joakim Noah,"$20,261,172 ",Memphis Grizzlies,MEM
45,Kyrie Irving,"$20,099,189 ",Boston Celtics,BOS
46,Jabari Parker,"$20,000,000 ",Chicago Bulls,CHI
