,0,1,2,3,4,5,6
Rank,2.0,3.0,4.0,5.0,6.0,,
Season,2018-19,2017-18,2016-17,2015-16,2014-15,,
ATL,29.0,24.0,43.0,48.0,60.0,,
BOS,49.0,55.0,53.0,48.0,40.0,,
BRK,42.0,28.0,20.0,21.0,38.0,,
CHI,22.0,27.0,41.0,42.0,50.0,,
CHO,39.0,36.0,36.0,48.0,33.0,,
CLE,19.0,50.0,51.0,57.0,53.0,,
DAL,33.0,24.0,33.0,42.0,50.0,,
DEN,54.0,46.0,40.0,33.0,30.0,,
DET,41.0,39.0,37.0,44.0,32.0,,
GSW,57.0,58.0,67.0,73.0,67.0,,
HOU,53.0,65.0,55.0,41.0,56.0,,
IND,48.0,48.0,42.0,45.0,38.0,,
LAC,48.0,42.0,51.0,53.0,56.0,,
LAL,37.0,35.0,26.0,17.0,21.0,,
MEM,33.0,22.0,43.0,42.0,55.0,,
MIA,39.0,44.0,41.0,48.0,37.0,,
MIL,60.0,44.0,42.0,33.0,41.0,,
MIN,36.0,47.0,31.0,29.0,16.0,,
NOP,33.0,48.0,34.0,30.0,45.0,,
NYK,17.0,29.0,31.0,32.0,17.0,,
OKC,49.0,48.0,47.0,55.0,45.0,,
ORL,42.0,25.0,29.0,35.0,25.0,,
PHI,51.0,52.0,28.0,10.0,18.0,,
PHO,19.0,21.0,24.0,23.0,39.0,,
POR,53.0,49.0,41.0,44.0,51.0,,
SAC,39.0,27.0,32.0,33.0,29.0,,
SAS,48.0,47.0,61.0,67.0,55.0,,
TOR,58.0,59.0,51.0,56.0,49.0,,
UTA,50.0,48.0,51.0,40.0,38.0,,
WAS,32.0,43.0,49.0,41.0,46.0,,
