player_id,salary,season,season_end,season_start,team
abrinal01,5994764,2016-17,2017,2016,Oklahoma City Thunder
abrinal01,5725000,2017-18,2018,2017,Oklahoma City Thunder
acyqu01,788872,2013-14,2014,2013,Toronto Raptors
acyqu01,915243,2014-15,2015,2014,New York Knicks
acyqu01,981348,2015-16,2016,2015,Sacramento Kings
acyqu01,1914544,2016-17,2017,2016,Brooklyn Nets
acyqu01,1050961,2016-17,2017,2016,Dallas Mavericks
acyqu01,1709538,2017-18,2018,2017,Brooklyn Nets
adamsjo01,1344120,2014-15,2015,2014,Memphis Grizzlies
adamsjo01,1404600,2015-16,2016,2015,Memphis Grizzlies
adamsjo01,1465080,2016-17,2017,2016,Memphis Grizzlies
adamsst01,2090880,2013-14,2014,2013,Oklahoma City Thunder
adamsst01,2184960,2014-15,2015,2014,Oklahoma City Thunder
adamsst01,2279040,2015-16,2016,2015,Oklahoma City Thunder
adamsst01,3140517,2016-17,2017,2016,Oklahoma City Thunder
adamsst01,22471910,2017-18,2018,2017,Oklahoma City Thunder
adebaba01,2490360,2017-18,2018,2017,Miami Heat
adrieje01,916099,2013-14,2014,2013,Charlotte Bobcats
adrieje01,981084,2014-15,2015,2014,Houston Rockets
afflaar01,7312500,2013-14,2014,2013,Orlando Magic
afflaar01,7750000,2014-15,2015,2014,Portland Trail Blazers
afflaar01,8000000,2015-16,2016,2015,New York Knicks
afflaar01,12500000,2016-17,2017,2016,Sacramento Kings
afflaar01,1500000,2017-18,2018,2017,Sacramento Kings
afflaar01,1471382,2017-18,2018,2017,Orlando Magic
ajincal01,981084,2014-15,2015,2014,New Orleans Pelicans
ajincal01,4300000,2015-16,2016,2015,New Orleans Pelicans
ajincal01,4600000,2016-17,2017,2016,New Orleans Pelicans
ajincal01,4961798,2017-18,2018,2017,New Orleans Pelicans
akognjo01,788872,2013-14,2014,2013,Memphis Grizzlies
aldemfu01,3000000,2014-15,2015,2014,Philadelphia 76ers
aldemfu01,3000000,2015-16,2016,2015,Philadelphia 76ers
aldrico01,981084,2014-15,2015,2014,New York Knicks
aldrico01,1100600,2015-16,2016,2015,Los Angeles Clippers
aldrico01,7643979,2016-17,2017,2016,Minnesota Timberwolves
aldrico01,7300000,2017-18,2018,2017,Minnesota Timberwolves
aldrila01,14128000,2013-14,2014,2013,Portland Trail Blazers
aldrila01,16006000,2014-15,2015,2014,Portland Trail Blazers
aldrila01,19500000,2015-16,2016,2015,San Antonio Spurs
aldrila01,20575005,2016-17,2017,2016,San Antonio Spurs
aldrila01,21461010,2017-18,2018,2017,San Antonio Spurs
alexacl01,525093,2015-16,2016,2015,Portland Trail Blazers
alexacl01,51449,2016-17,2017,2016,Brooklyn Nets
allenja01,1713720,2017-18,2018,2017,Brooklyn Nets
allenla01,3060000,2013-14,2014,2013,Philadelphia 76ers
allenla01,948163,2014-15,2015,2014,Indiana Pacers
allenla01,3700000,2015-16,2016,2015,Indiana Pacers
allenla01,4000000,2016-17,2017,2016,Indiana Pacers
allenra02,3229050,2013-14,2014,2013,Miami Heat
allento01,4494382,2013-14,2014,2013,Memphis Grizzlies
allento01,4831461,2014-15,2015,2014,Memphis Grizzlies
allento01,5168539,2015-16,2016,2015,Memphis Grizzlies
allento01,5505618,2016-17,2017,2016,Memphis Grizzlies
allento01,1471382,2017-18,2018,2017,Chicago Bulls
aminual01,3700000,2013-14,2014,2013,New Orleans Pelicans
aminual01,981084,2014-15,2015,2014,Dallas Mavericks
aminual01,7500000,2015-16,2016,2015,Portland Trail Blazers
aminual01,7680965,2016-17,2017,2016,Portland Trail Blazers
aminual01,7319035,2017-18,2018,2017,Portland Trail Blazers
amundlo01,409167,2014-15,2015,2014,New York Knicks
amundlo01,1650000,2015-16,2016,2015,New York Knicks
amundlo01,1551659,2016-17,2017,2016,New York Knicks
anderch01,1399507,2013-14,2014,2013,Miami Heat
anderch01,5375000,2014-15,2015,2014,Miami Heat
anderch01,5000000,2015-16,2016,2015,Memphis Grizzlies
anderch01,1551659,2016-17,2017,2016,Charlotte Hornets
anderal01,947907,2013-14,2014,2013,Brooklyn Nets
anderal01,1276061,2014-15,2015,2014,Brooklyn Nets
anderal01,4000000,2015-16,2016,2015,Washington Wizards
anderal01,1315448,2016-17,2017,2016,Los Angeles Clippers
