Team,Home ATT,Home AVG,Road ATT,Road AVG
Atlanta Hawks,"713,909","17,412","720,873","17,582"
Boston Celtics,"721,350","17,594","727,404","17,742"
Brooklyn Nets,"698,529","17,037","739,614","18,039"
Charlotte Hornets,"704,886","17,192","723,833","17,654"
Chicago Bulls,"896,525","21,866","754,592","18,405"
Cleveland Cavaliers,"843,042","20,562","775,537","18,916"
Dallas Mavericks,"827,702","20,188","723,792","17,653"
Denver Nuggets,"602,707","14,700","714,593","17,429"
Detroit Pistons,"625,917","15,266","732,519","17,866"
Golden State Warriors,"803,436","19,596","750,793","18,312"
Houston Rockets,"747,412","18,230","736,761","17,970"
Indiana Pacers,"691,434","16,864","733,593","17,893"
Los Angeles Clippers,"785,892","19,168","741,245","18,079"
Los Angeles Lakers,"768,244","18,738","732,881","17,875"
Memphis Grizzlies,"710,502","17,329","738,717","18,017"
Miami Heat,"808,223","19,713","725,609","17,698"
Milwaukee Bucks,"611,226","14,908","725,841","17,703"
Minnesota Timberwolves,"595,652","14,528","738,032","18,001"
New Orleans Pelicans,"683,757","16,677","723,265","17,641"
New York Knickerbockers,"812,292","19,812","715,966","17,463"
Oklahoma City Thunder,"746,323","18,203","736,220","17,957"
Orlando Magic,"688,194","16,785","721,024","17,586"
Philadelphia 76ers,"571,342","13,935","724,272","17,665"
Phoenix Suns,"693,862","16,923","721,033","17,586"
Portland Trail Blazers,"801,377","19,546","723,952","17,657"
Sacramento Kings,"680,049","16,587","718,130","17,515"
San Antonio Spurs,"762,855","18,606","736,866","17,972"
Toronto Raptors,"809,824","19,752","718,430","17,523"
Utah Jazz,"772,059","18,831","702,545","17,135"
Washington Wizards,"747,796","18,239","748,386","18,253"
