Rank,Player,2018/19,Team,Team Code,Year 
1,Stephen Curry,"$37,457,154 ",Golden State Warriors,GSW,2019
2,Russell Westbrook,"$35,665,000 ",Oklahoma City Thunder,OKC,2019
3,LeBron James,"$35,654,150 ",Los Angeles Lakers,LAL,2019
3,Chris Paul,"$35,654,150 ",Houston Rockets,HOU,2019
5,Kyle Lowry,"$32,700,000 ",Toronto Raptors,TOR,2019
6,Blake Griffin,"$31,873,932 ",Detroit Pistons,DET,2019
7,Gordon Hayward,"$31,214,295 ",Boston Celtics,BOS,2019
8,James Harden,"$30,570,000 ",Houston Rockets,HOU,2019
9,Paul George,"$30,560,700 ",Oklahoma City Thunder,OKC,2019
10,Mike Conley,"$30,521,115 ",Memphis Grizzlies,MEM,2019
11,Kevin Durant,"$30,000,000 ",Golden State Warriors,GSW,2019
12,Paul Millsap,"$29,230,769 ",Denver Nuggets,DEN,2019
13,Al Horford,"$28,928,710 ",Boston Celtics,BOS,2019
14,Damian Lillard,"$27,977,689 ",Portland Trailblazers,POR,2019
15,DeMar DeRozan,"$27,739,975 ",San Antonio Spurs,SAS,2019
16,Chris Bosh,"$26,837,720 ",Miami Heat,MIA,2019
17,Jrue Holiday,"$26,641,111 ",New Orleans Pelicans,NOP,2019
18,Otto Porter,"$26,011,913 ",Washington Wizards,WAS,2019
19,CJ McCollum,"$25,759,766 ",Portland Trailblazers,POR,2019
20,Joel Embiid,"$25,467,250 ",Phoenix Suns,PHI,2019
20,Andrew Wiggins,"$25,467,250 ",Minnesota Timberwolves,MIN,2019
20,Nikola Jokic,"$25,467,250 ",Denver Nuggets,DEN,2019
23,Anthony Davis,"$25,434,263 ",New Orleans Pelicans,NOP,2019
24,Bradley Beal,"$25,434,262 ",Washington Wizards,WAS,2019
24,Andre Drummond,"$25,434,262 ",Detroit Pistons,DET,2019
26,Hassan Whiteside,"$24,434,262 ",Miami Heat,MIA,2019
27,Dwight Howard,"$24,256,725 ",Washington Wizards,WAS,2019
28,Steven Adams,"$24,157,304 ",Oklahoma City Thunder,OKC,2019
28,Giannis Antetokounmpo,"$24,157,304 ",Milwaukee Bucks,MIL,2019
30,Marc Gasol,"$24,119,025 ",Memphis Grizzlies,MEM,2019
30,Kevin Love,"$24,119,025 ",Cleveland Cavaliers,CLE,2019
32,Harrison Barnes,"$24,107,258 ",Dallas Mavericks,DAL,2019
32,Chandler Parsons,"$24,107,258 ",Memphis Grizzlies,MEM,2019
34,Nicolas Batum,"$24,000,000 ",Charlotte Hornets,CHO,2019
35,Rudy Gobert,"$23,491,573 ",Utah Jazz,UTA,2019
36,Kawhi Leonard,"$23,114,066 ",Toronto Raptors,TOR,2019
37,DeAndre Jordan,"$22,897,200 ",Dallas Mavericks,DAL,2019
38,LaMarcus Aldridge,"$22,347,015 ",San Antonio Spurs,SAS,2019
39,Serge Ibaka,"$21,666,667 ",Toronto Raptors,TOR,2019
40,Aaron Gordon,"$21,590,909 ",Orlando Magic,ORL,2019
41,Danilo Gallinari,"$21,587,579 ",Los Angeles Clippers,LAC,2019
42,Victor Oladipo,"$21,000,000 ",Indiana Pacers,IND,2019
43,Ryan Anderson,"$20,421,546 ",Phoenix Suns,PHO,2019
44,Joakim Noah,"$20,261,172 ",Memphis Grizzlies,MEM,2019
45,Kyrie Irving,"$20,099,189 ",Boston Celtics,BOS,2019
46,Jabari Parker,"$20,000,000 ",Chicago Bulls,CHI,2019
