Rank,Team,Value
1, New York Knicks, $3.3 billion
2, Los Angeles Lakers, $3 billion
3, Golden State Warriors, $2.6 billion
4, Chicago Bulls, $2.5 billion
5, Boston Celtics, $2.2 billion
6, Los Angeles Clippers,2 billion
7, Brooklyn Nets, $1.8 billion
8, Houston Rockets, $1.65 billion
9, Dallas Mavericks, $1.45 billion
10, Miami Heat, $1.35 billion
11, Cleveland Cavaliers, $1.2 billion
12, San Antonio Spurs, $1.175 billion
13, Toronto Raptors, $1.125 billion
14, Phoenix Suns, $1.1 billion
15, Sacramento Kings, $1.075 billion
16, Portland Trail Blazers, $1.05 billion
17, Oklahoma City Thunder, $1.025 billion
18, Washington Wizards, $1 billion
19, Orlando Magic, $920MM
20, Utah Jazz, $910MM
21, Detroit Pistons, $900MM
22, Denver Nuggets, $890MM
23, Atlanta Hawks, $885MM
24, Indiana Pacers, $880MM
25, Philadelphia 76ers, $800MM
26, Memphis Grizzlies, $790MM
27, Milwaukee Bucks, $785MM
28, Charlotte Hornets, $780MM
29, Minnesota Timberwolves, $770MM
30, New Orleans Pelicans, $750MM
